DOI,Query,PII,Title,Journal
10.1016/j.conbuildmat.2013.06.020, ,None,"A new mix design method for steel fibre-reinforced, roller compacted and polymer modified bonded concrete overlays",Construction and Building Materials
10.1016/j.conbuildmat.2013.01.017, ,None,The usage of ultra-fine cement as an admixture to increase the compressive strength of Portland cement mortars,Construction and Building Materials
10.1016/j.conbuildmat.2014.06.091, ,None,Effects of stirrups on electrochemical chloride removal efficiency,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.101, ,None,Impacts of aggregate base on roadway pavement performances,Construction and Building Materials
10.1016/s0950-0618(12)00833-1, ,None,Editorial Board,Construction and Building Materials
10.1016/s0950-0618(14)00069-5, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2010.11.092, ,None,Strengthening the structural behavior of adobe walls through the use of plaster reinforcement mesh,Construction and Building Materials
10.1016/j.conbuildmat.2013.03.022, ,None,Sustainable upgrading of fine-grained soils present in the right-of-way of High Speed Rail projects,Construction and Building Materials
10.1016/j.conbuildmat.2011.10.022, ,None,Coal–biomass fly ashes for cement production of CEM II/A-V 42.5R,Construction and Building Materials
10.1016/j.conbuildmat.2014.02.069, ,None,Structural test at the laboratory scale for the utilization of stabilized fine-grained soils in the subgrades of High Speed Rail infrastructures: Analytical and numerical aspects,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.035, ,None,Electromechanical impedance spectra investigation of impedance-based PZT and cement/polymer based piezoelectric composite sensors,Construction and Building Materials
10.1016/j.conbuildmat.2012.09.082, ,None,Analysis of hot mix asphalt compaction data by means of fuzzy clustering techniques,Construction and Building Materials
10.1016/j.conbuildmat.2009.08.035, ,None,Special Issue on Inorganic-bonded Fiber Composites,Construction and Building Materials
10.1016/s0950-0618(13)00503-5, ,None,Editorial Board,Construction and Building Materials
10.1016/s0950-0618(11)00621-0, ,None,Calendar,Construction and Building Materials
10.1016/s0950-0618(12)00043-8, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2013.07.009, ,None,Ductility of civil engineering structures incorporating fibre reinforced polymers (FRPs),Construction and Building Materials
10.1016/j.conbuildmat.2012.06.027, ,None,Determining ASR characteristics using dilatometer method,Construction and Building Materials
10.1016/j.conbuildmat.2012.04.025, ,None,"Acidic attack of cement based materials under the common action of high, ambient temperature and pressure",Construction and Building Materials
10.1016/j.conbuildmat.2011.06.011, ,None,On ameliorating the residual strength of reinforced concrete panels subjected to elevated temperature,Construction and Building Materials
10.1016/j.conbuildmat.2010.03.006, ,None,"Effect of porosity on the thermal expansion coefficient: A discussion of the paper ‘Effects of mineral admixtures on the thermal expansion properties of hardened cement paste’ by Z.H. Shui, R. Zhang, W. Chen, D. Xuan, Constr. Build. Mater. 24 (9) (2010) 1761–1767",Construction and Building Materials
10.1016/j.conbuildmat.2012.04.064, ,None,Multiscale non-linear analysis of RC hollow piers wrapped with CFRP under shear-type load,Construction and Building Materials
10.1016/j.conbuildmat.2012.05.004, ,None,Microstructure and performance of sludge-ceramisite concrete,Construction and Building Materials
10.1016/j.conbuildmat.2014.01.084, ,None,Experimental investigation on the mechanical performance of starch–hemp composite materials,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.082, ,None,Concrete cover separation failure of overlay-strengthened reinforced concrete beams,Construction and Building Materials
10.1016/j.conbuildmat.2014.05.087, ,None,Modelling the outdoor performance of wood products – A review on existing approaches,Construction and Building Materials
10.1016/j.conbuildmat.2010.01.020, ,None,Mechanical properties of normal and high strength concretes subjected to high temperatures and using image analysis to detect bond deteriorations,Construction and Building Materials
10.1016/j.conbuildmat.2011.09.023, ,None,Investigation of asphalt mixture containing demolition waste obtained from earthquake-damaged buildings,Construction and Building Materials
10.1016/s0950-0618(14)00312-2, ,None,Editorial Board,Construction and Building Materials
10.1016/s0950-0618(09)00450-4, ,None,Editorial Board,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.083, ,None,Modelling the compressive mechanical behaviour of granite and sandstone historical building stones,Construction and Building Materials
10.1016/j.conbuildmat.2010.06.003, ,None,Assessing the effects of supplementary cementitious materials on the performance of low-cement roller compacted concrete pavement,Construction and Building Materials
10.1016/j.conbuildmat.2010.12.051, ,None,Parameter optimization on compressive strength of steel fiber reinforced high strength concrete,Construction and Building Materials
10.1016/s0950-0618(14)01206-9, ,None,Editorial Board,Construction and Building Materials
